종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
011210,현대위아,"53,800","500","0.94","6,605,835,100","1,463,095,465,400"
004020,현대제철,"32,700","-550","1.65","19,528,061,800","4,363,677,169,500"
329180,현대중공업,"109,500","2,000","1.86","18,755,289,500","9,720,656,202,000"
005380,현대차,"166,500","2,500","1.52","144,835,338,500","35,575,753,135,500"
001450,현대해상,"30,050","150","0.50","8,769,869,950","2,686,470,000,000"
057050,현대홈쇼핑,"54,500","300","0.55","385,377,800","654,000,000,000"
008770,호텔신라,"82,600","-1,100","1.31","35,029,923,000","3,241,894,794,600"
241590,화승엔터프라이즈,"9,880","160","1.65","2,302,251,770","598,622,046,880"
004800,효성,"68,900","1,000","1.47","2,887,215,500","1,451,793,622,500"
298050,효성첨단소재,"377,500","-1,500","0.40","10,194,886,000","1,691,180,370,000"
298020,효성티앤씨,"373,500","-8,000","2.10","17,100,801,500","1,616,389,227,000"
093370,후성,"12,000","50","0.42","7,611,696,250","1,132,225,248,000"
081660,휠라홀딩스,"34,650","850","2.51","7,614,246,250","2,105,064,492,300"
