Date,Open,High,Low,Close,Volume,Change
2019-01-02,39400,39400,38550,38750,7847664,0.0012919896640826156
2019-01-03,38300,38550,37450,37600,12471493,-0.029677419354838697
2019-01-04,37450,37600,36850,37450,14108958,-0.003989361702127714
2019-01-07,38000,38900,37800,38750,12748997,0.03471295060080104
2019-01-08,38000,39200,37950,38100,12756554,-0.01677419354838705
2019-01-09,38650,39600,38300,39600,17452708,0.03937007874015741
2019-01-10,40000,40150,39600,39800,14731699,0.005050505050504972
2019-01-11,40350,40550,39950,40500,11661063,0.017587939698492372
2019-01-14,40450,40700,39850,40050,11984996,-0.011111111111111072
2019-01-15,40050,41100,39850,41100,11492756,0.02621722846441954
2019-01-16,41150,41450,40700,41450,8491595,0.008515815085158085
2019-01-17,41700,42100,41450,41950,11736903,0.012062726176115701
2019-01-18,42000,42400,41950,42300,11029256,0.008343265792610355
2019-01-21,42700,42750,41900,42750,11355701,0.010638297872340496
2019-01-22,42750,42850,41850,42150,9964356,-0.01403508771929829
2019-01-23,41350,42250,41350,42000,11071079,-0.003558718861209953
2019-01-24,43050,43100,42350,43050,14747623,0.02499999999999991
2019-01-25,44300,44750,43750,44750,22789395,0.03948896631823451
2019-01-28,45000,45500,44600,45050,17998914,0.006703910614525244
2019-01-29,45050,45500,44350,45500,16215017,0.009988901220865598
2019-01-30,44800,46400,44800,46400,17505980,0.01978021978021971
2019-01-31,46650,47050,46150,46150,21621145,-0.0053879310344827624
2019-02-01,46650,46950,46250,46350,13832454,0.004333694474539573
2019-02-07,46800,47100,46200,46200,15872001,-0.003236245954692518
2019-02-08,45700,45700,44650,44800,12689196,-0.030303030303030276
2019-02-11,44500,45000,44250,45000,11125044,0.0044642857142858094
2019-02-12,44650,46250,44650,46050,13184367,0.023333333333333428
2019-02-13,46400,46700,46000,46200,11299738,0.0032573289902280145
2019-02-14,46600,47500,46150,47500,17259341,0.02813852813852824
2019-02-15,46750,46850,45650,46050,10554643,-0.030526315789473735
2019-02-18,46500,46850,45850,46200,8183728,0.0032573289902280145
2019-02-19,45850,46150,45450,45950,6741395,-0.005411255411255422
2019-02-20,46750,47100,46500,46900,11506720,0.020674646354733373
2019-02-21,46500,47200,46200,46950,8694009,0.0010660980810235365
2019-02-22,46500,47150,46450,47150,6895772,0.004259850905218299
2019-02-25,47400,47550,47050,47350,7484716,0.0042417815482502785
2019-02-26,47350,47450,46500,46750,7985547,-0.012671594508975703
2019-02-27,47000,47250,46750,46750,8045211,0.0
2019-02-28,46400,46500,45100,45100,23569321,-0.03529411764705881
2019-03-04,46000,46100,44800,44850,12926539,-0.005543237250554278
2019-03-05,44600,45100,44150,44250,10612405,-0.013377926421404673
2019-03-06,44000,44300,43700,44000,10202544,-0.005649717514124242
2019-03-07,43400,44950,43400,44450,11049749,0.010227272727272751
2019-03-08,44450,44800,43800,43800,7729069,-0.01462317210348707
2019-03-11,44400,44450,43650,43650,10717408,-0.003424657534246589
2019-03-12,44300,44950,44150,44650,11431977,0.02290950744558984
2019-03-13,44250,44450,43700,43850,8108343,-0.017917133258678608
2019-03-14,43700,44300,43550,43850,18039161,0.0
2019-03-15,43800,44250,43700,44200,16814163,0.007981755986316896
2019-03-18,43950,44150,43450,43700,8188876,-0.011312217194570096
2019-03-19,43750,43900,43550,43900,7609563,0.004576659038901587
2019-03-20,43800,44200,43100,44050,9846242,0.003416856492027387
2019-03-21,44600,46250,44050,45850,21138016,0.04086265607264483
2019-03-22,46850,47000,46250,46550,12535911,0.01526717557251911
2019-03-25,45300,45650,44800,45500,8699728,-0.022556390977443663
2019-03-26,45500,45700,44900,45250,9729811,-0.005494505494505475
2019-03-27,44750,45600,44250,45350,9568081,0.0022099447513812542
2019-03-28,44950,45200,44300,44850,6821306,-0.011025358324145529
2019-03-29,44500,44900,44200,44650,11491713,-0.004459308807134854
2019-04-01,45200,45450,44850,45050,7362129,0.008958566629339249
2019-04-02,45550,46100,45350,45750,9480688,0.015538290788013276
2019-04-03,46750,46750,45800,46600,12436570,0.01857923497267766
2019-04-04,46150,47100,46150,46950,12650168,0.007510729613734002
2019-04-05,46950,47550,46600,46850,8546339,-0.0021299254526091493
2019-04-08,47250,47250,46150,46650,8507909,-0.004268943436499417
2019-04-09,46700,46950,46200,46650,6878761,0.0
2019-04-10,46400,46700,46050,46700,11883995,0.001071811361200492
2019-04-11,46700,46800,46150,46250,13697399,-0.009635974304068484
2019-04-12,46050,46900,46000,46850,7668936,0.012972972972973063
2019-04-15,47150,47500,47000,47050,8733019,0.004268943436499528
2019-04-16,47400,47400,46800,47250,7730881,0.004250797024442088
2019-04-17,47300,47600,47000,47050,5513658,-0.004232804232804255
2019-04-18,47200,47250,45500,45600,12808747,-0.03081827842720508
2019-04-19,45750,46000,45250,45300,8479710,-0.006578947368421018
2019-04-22,45400,45900,45100,45350,6006957,0.001103752759381793
2019-04-23,45050,45500,45000,45200,6920566,-0.003307607497243681
2019-04-24,45400,45650,44150,44750,13299267,-0.009955752212389424
2019-04-25,44250,45000,44100,44650,10868965,-0.0022346368715083775
2019-04-26,44200,45000,43800,44850,9739982,0.004479283314669624
2019-04-29,45150,46150,45100,46150,8777517,0.02898550724637672
2019-04-30,46000,46300,45350,45850,11121273,-0.00650054171180936
2019-05-02,45500,46150,45400,45900,8625126,0.0010905125408942062
2019-05-03,45900,46050,45300,45300,6562916,-0.013071895424836555
2019-05-07,45250,45300,44400,44850,12014907,-0.009933774834437137
2019-05-08,44300,44850,44200,44250,10398754,-0.013377926421404673
2019-05-09,43900,44250,42450,42450,23029718,-0.04067796610169494
2019-05-10,42600,43450,42450,42900,14579512,0.010600706713780994
2019-05-13,42500,43200,42350,42650,7635079,-0.005827505827505797
2019-05-14,41300,43100,41300,42650,11563730,0.0
2019-05-15,42700,43050,42550,42550,7670185,-0.0023446658851113966
2019-05-16,42350,42400,41350,41550,13687828,-0.023501762632197387
2019-05-17,41950,42050,40850,41200,13357951,-0.008423586040914532
2019-05-20,41650,42100,41550,42000,15752397,0.01941747572815533
2019-05-21,42600,43950,42350,43150,18812133,0.027380952380952284
2019-05-22,43700,43800,42400,43500,11033339,0.008111239860950192
2019-05-23,43900,44000,43250,43850,12259006,0.008045977011494232
2019-05-24,43800,43800,42400,42700,13966305,-0.026225769669327215
2019-05-27,42500,43000,42350,42650,8066669,-0.0011709601873536313
2019-05-28,42550,42950,42150,42550,24506881,-0.0023446658851113966
2019-05-29,41850,42100,41300,41800,14930618,-0.01762632197414804
2019-05-30,42200,42700,42150,42550,11766018,0.017942583732057482
2019-05-31,42600,42800,42150,42500,11365999,-0.001175088131609825
2019-06-03,42950,43900,42500,43800,15466580,0.030588235294117583
2019-06-04,43400,43700,43000,43450,9913497,-0.007990867579908634
2019-06-05,44050,44200,43700,43900,12464135,0.010356731875719172
2019-06-07,43600,44350,43450,44200,11683682,0.006833712984054774
2019-06-10,44300,44850,44050,44800,8792182,0.013574660633484115
2019-06-11,44800,45000,44550,44850,6664872,0.0011160714285713969
2019-06-12,44800,45050,44300,44600,8607439,-0.005574136008918651
2019-06-13,44200,44400,43400,43750,16906541,-0.01905829596412556
2019-06-14,43750,44150,43300,44000,9322873,0.005714285714285783
2019-06-17,43750,44050,43400,43900,11890424,-0.002272727272727315
2019-06-18,43750,44500,43650,44350,7994928,0.010250569476081939
2019-06-19,45450,45450,45000,45350,10417690,0.022547914317925688
2019-06-20,44850,45500,44850,45500,7147785,0.00330760749724357
2019-06-21,45750,45800,45200,45700,9454913,0.00439560439560438
2019-06-24,45200,45800,45200,45500,6085066,-0.004376367614879695
2019-06-25,45200,45800,45200,45600,7076774,0.00219780219780219
2019-06-26,45800,46000,45600,45700,9226097,0.002192982456140413
2019-06-27,46000,46600,45750,46500,12603534,0.017505470459518557
