,단축코드,한글 종목약명,상장일
173,004270,남성,1989/11/14
174,003925,남양유업우,1988/06/20
175,003920,남양유업,1978/06/24
176,025860,남해화학,1995/11/10
177,005725,넥센우,1989/09/23
178,005720,넥센,1987/12/19
179,002355,넥센타이어1우B,1999/06/08
180,002350,넥센타이어,1976/05/19
181,251270,넷마블,2017/05/12
182,090355,노루페인트우,2006/07/03
183,090350,노루페인트,2006/07/03
184,000325,노루홀딩스우,1989/01/21
185,000320,노루홀딩스,1973/08/10
186,006280,녹십자,1989/08/01
187,005257,녹십자홀딩스2우,1997/03/19
188,005250,녹십자홀딩스,1978/08/28
189,004370,농심,1976/06/30
190,072710,농심홀딩스,2003/07/30
191,058730,다스코,2004/08/02
192,030210,다올투자증권,1996/11/19
193,023590,다우기술,1997/08/27
194,145210,다이나믹디자인,2015/03/19
195,019680,대교,2004/02/03
196,019685,대교우B,2004/02/03
197,006370,대구백화점,1988/10/10
198,00806K,대덕1우,2018/12/19
199,008060,대덕,1989/01/26
200,353200,대덕전자,2020/05/21
201,35320K,대덕전자1우,2020/05/21
202,000490,대동,1975/06/27
203,008110,대동전자,1990/06/05
204,005750,대림B&Co,1992/12/23
205,006570,대림통상,1975/11/20
206,001685,대상우,1989/11/21
207,001680,대상,1970/04/01
208,084695,대상홀딩스우,2005/08/17
209,084690,대상홀딩스,2005/08/17
210,128820,대성산업,2010/07/30
211,117580,대성에너지,2010/12/24
212,016710,대성홀딩스,1999/12/22
213,003545,대신증권우,1988/09/01
214,003547,대신증권2우B,2007/11/09
215,003540,대신증권,1975/10/01
216,009190,대양금속,1994/04/29
217,014160,대영포장,1990/03/06
218,047040,대우건설,2001/03/23
219,009320,대우부품,1989/08/25
220,042660,대우조선해양,2001/02/02
221,003090,대웅,1973/06/26
222,069620,대웅제약,2002/11/01
223,000430,대원강업,1977/06/22
224,006345,대원전선우,1989/06/21
225,006340,대원전선,1988/05/04
226,003220,대원제약,1999/12/15
227,024890,대원화성,1997/10/28
228,002880,대유에이텍,1977/02/18
229,000300,대유플러스,1975/06/09
230,015230,대창단조,1989/07/25
231,012800,대창,1989/12/05
232,001070,대한방직,1973/12/28
233,006650,대한유화,1999/08/11
234,001440,대한전선,1968/12/27
235,084010,대한제강,2005/10/31
236,001795,대한제당우,1995/01/21
237,001790,대한제당,1968/12/27
238,001130,대한제분,1970/11/25
239,003495,대한항공우,1990/03/31
240,003490,대한항공,1966/03/18
241,005880,대한해운,1992/04/23
242,003830,대한화섬,1985/12/23
243,016090,대현,1990/09/20
244,069460,대호에이엘,2002/11/11
245,192080,더블유게임즈,2019/03/12
246,012510,더존비즈온,1988/10/28
247,004835,덕성우,1989/12/19
248,004830,덕성,1987/09/25
249,024900,덕양산업,1997/06/23
250,145720,덴티움,2017/03/15
251,002150,도화엔지니어링,2010/08/12
252,001230,동국제강,1988/05/09
253,004140,동방,1988/08/10
254,007590,동방아그로,1977/06/29
255,005965,동부건설우,1990/06/21
256,005960,동부건설,1978/10/30
257,026960,동서,2016/07/15
258,002210,동성제약,1990/01/19
259,102260,동성케미컬,2008/06/23
260,000640,동아쏘시오홀딩스,1970/02/10
261,170900,동아에스티,2013/04/08
262,028100,동아지질,2009/06/12
263,282690,동아타이어,2017/11/29
264,001525,동양우,1989/09/30
265,001527,동양2우B,1999/01/28
266,084670,동양고속,2005/07/25
267,001520,동양,1976/06/25
268,082640,동양생명,2009/10/08
269,008970,동양철관,1977/03/05
270,092780,동양피스톤,2017/12/08
271,049770,동원F&B,2000/11/23
272,018500,동원금속,1995/11/10
273,006040,동원산업,1989/03/07
274,030720,동원수산,1996/11/22
275,014825,동원시스템즈우,1995/01/21
276,014820,동원시스템즈,1994/03/29
277,163560,동일고무벨트,2012/10/19
278,004890,동일산업,2005/06/30
279,002690,동일제강,2015/09/24
280,000020,동화약품,1976/03/24
281,000155,두산우,1986/07/31
282,000157,두산2우B,1999/12/03
283,241560,두산밥캣,2016/11/18
284,000150,두산,1973/06/29
285,034020,두산에너빌리티,2000/10/25
286,33626K,두산퓨얼셀1우,2019/10/18
287,33626L,두산퓨얼셀2우B,2019/10/18
288,336260,두산퓨얼셀,2019/10/18
289,016740,두올,2016/07/29
290,192650,드림텍,2019/03/14
291,024090,디씨엠,1999/08/18
292,003160,디아이,1996/07/31
293,092200,디아이씨,2007/10/18
294,004840,DRB동일,1976/05/21
295,377190,디앤디플랫폼리츠,2021/08/27
296,007340,DN오토모티브,1988/09/24
297,013570,디와이,1989/05/30
298,210540,디와이파워,2015/01/15
299,115390,락앤락,2010/01/28
300,032350,롯데관광개발,2006/06/08
301,089860,롯데렌탈,2021/08/19
302,330590,롯데리츠,2019/10/30
303,000400,롯데손해보험,1971/04/16
304,023530,롯데쇼핑,2006/02/09
305,004000,롯데정밀화학,1976/04/15
306,286940,롯데정보통신,2018/07/27
307,280360,롯데제과,2017/10/30
308,00499K,롯데지주우,2017/10/30
309,004990,롯데지주,1974/02/16
310,005305,롯데칠성우,1989/09/21
311,005300,롯데칠성,1973/06/21
312,011170,롯데케미칼,1991/05/30
313,071840,롯데하이마트,2011/06/29
314,027740,마니커,2002/10/29
315,357430,마스턴프리미어리츠,2022/05/31
316,001080,만호제강,1977/06/18
317,088980,맥쿼리인프라,2006/03/15
318,138040,메리츠금융지주,2011/05/13
319,008560,메리츠증권,1992/01/15
320,090370,메타랩스,2006/12/26
321,017180,명문제약,2008/07/10
322,009900,명신산업,2020/12/07
323,012690,모나리자,1988/10/14
324,005360,모나미,1974/06/26
325,204210,모두투어리츠,2016/09/22
326,009680,모토닉,1994/01/14
327,009200,무림페이퍼,1990/06/09
328,009580,무림P&P,1989/06/20
329,033920,무학,2010/07/20
330,008420,문배철강,1994/11/05
331,025560,미래산업,1996/11/22
332,007120,미래아이앤지,1999/11/26
333,396690,미래에셋글로벌리츠,2021/12/03
334,357250,미래에셋맵스리츠,2020/08/05
335,094800,맵스리얼티1,2007/04/09
336,085620,미래에셋생명,2015/07/08
337,006805,미래에셋증권우,1989/04/08
338,00680K,미래에셋증권2우B,2018/03/14
339,006800,미래에셋증권,1975/09/30
340,002840,미원상사,1989/09/25
341,268280,미원에스씨,2017/05/22
342,107590,미원홀딩스,2009/03/02
343,134380,미원화학,2011/02/15
344,003650,미창석유,1989/09/27
345,155900,바다로19호,2012/06/29
346,377740,바이오노트,2022/12/22
347,003610,방림,1989/05/30
348,001340,백광산업,1976/06/10
349,035150,백산,1999/08/11
350,002410,범양건영,1988/05/25
351,007210,벽산,1972/01/04
352,002760,보락,1989/11/30
353,003850,보령,1988/10/24
354,000890,보해양조,1988/09/23
355,003000,부광약품,1988/08/05
356,001275,부국증권우,1989/11/10
357,001270,부국증권,1988/07/19
358,026940,부국철강,2008/10/14
359,011390,부산산업,1990/09/14
360,005030,부산주공,1975/12/26
361,002070,비비안,1976/07/13
362,100220,비상교육,2008/06/30
363,030790,비케이탑스,2010/11/02
364,005180,빙그레,1978/08/31
365,003960,사조대림,1976/09/16
366,008040,사조동아원,1989/06/24
367,007160,사조산업,1989/07/25
368,014710,사조씨푸드,2012/06/29
369,006090,사조오양,1986/12/24
370,001470,삼부토건,1976/06/26
371,006405,삼성SDI우,1989/11/24
